percent	AA	organ
0.042372881355932	K	shoot
0.070866141732284	K	shoot
0.052489905787349	K	shoot
0.083333333333333	K	shoot
0.068	K	shoot
0.070588235294118	K	shoot
0.086053412462908	K	shoot
0.058673469387755	K	shoot
0.061302681992337	K	shoot
0.062034739454094	K	shoot
0.068571428571429	K	shoot
0.061855670103093	K	shoot
0.080123266563945	K	shoot
0.052410901467505	K	shoot
0.049295774647887	K	shoot
0.048192771084337	K	shoot
0.089068825910931	K	shoot
0.086053412462908	K	shoot
0.075471698113208	K	shoot
0.098870056497175	A	shoot
0.149606299212598	A	shoot
0.129205921938089	A	shoot
0.087301587301587	A	shoot
0.084	A	shoot
0.126470588235294	A	shoot
0.086053412462908	A	shoot
0.099489795918367	A	shoot
0.10727969348659	A	shoot
0.062034739454094	A	shoot
0.057142857142857	A	shoot
0.123711340206186	A	shoot
0.089368258859784	A	shoot
0.09433962264151	A	shoot
0.093896713615024	A	shoot
0.072289156626506	A	shoot
0.060728744939271	A	shoot
0.089020771513353	A	shoot
0.097242380261248	A	shoot
0.111581920903955	G	shoot
0.078740157480315	G	shoot
0.092866756393001	G	shoot
0.103174603174603	G	shoot
0.116	G	shoot
0.1	G	shoot
0.083086053412463	G	shoot
0.094387755102041	G	shoot
0.065134099616858	G	shoot
0.074441687344913	G	shoot
0.085714285714286	G	shoot
0.082474226804124	G	shoot
0.083204930662558	G	shoot
0.09643605870021	G	shoot
0.077464788732394	G	shoot
0.096385542168675	G	shoot
0.11336032388664	G	shoot
0.083086053412463	G	shoot
0.089985486211901	G	shoot
0.043785310734463	E	shoot
0.055118110236221	E	shoot
0.069986541049798	E	shoot
0.05952380952381	E	shoot
0.04	E	shoot
0.061764705882353	E	shoot
0.056379821958457	E	shoot
0.061224489795918	E	shoot
0.038314176245211	E	shoot
0.059553349875931	E	shoot
0.062857142857143	E	shoot
0.069587628865979	E	shoot
0.080123266563945	E	shoot
0.069182389937107	E	shoot
0.075117370892019	E	shoot
0.070281124497992	E	shoot
0.089068825910931	E	shoot
0.044510385756677	E	shoot
0.066763425253991	E	shoot
0.039473684210526	K	root
0.017857142857143	K	root
0.012578616352201	K	root
0.044843049327354	K	root
0.022292993630573	K	root
0.035532994923858	K	root
0.08659217877095	K	root
0.03125	K	root
0.034954407294833	K	root
0.041666666666667	K	root
0.015503875968992	K	root
0.020588235294118	K	root
0.019283746556474	K	root
0.047091412742382	K	root
0.036166365280289	K	root
0.039473684210526	K	root
0.02946273830156	K	root
0.072368421052632	A	root
0.142857142857143	A	root
0.132075471698113	A	root
0.161434977578475	A	root
0.133757961783439	A	root
0.126903553299492	A	root
0.100558659217877	A	root
0.104166666666667	A	root
0.085106382978723	A	root
0.166666666666667	A	root
0.162790697674419	A	root
0.132352941176471	A	root
0.118457300275482	A	root
0.138504155124654	A	root
0.128390596745027	A	root
0.092105263157895	A	root
0.1421143847487	A	root
0.184210526315789	G	root
0.101190476190476	G	root
0.106918238993711	G	root
0.210762331838565	G	root
0.06687898089172	G	root
0.101522842639594	G	root
0.089385474860335	G	root
0.097222222222222	G	root
0.072948328267477	G	root
0.074074074074074	G	root
0.089147286821706	G	root
0.129411764705882	G	root
0.079889807162535	G	root
0.069252077562327	G	root
0.077757685352622	G	root
0.184210526315789	G	root
0.079722703639515	G	root
0.046052631578947	E	root
0.029761904761905	E	root
0.062893081761006	E	root
0.071748878923767	E	root
0.019108280254777	E	root
0.030456852791878	E	root
0.081005586592179	E	root
0.038194444444445	E	root
0.048632218844985	E	root
0.018518518518519	E	root
0.034883720930233	E	root
0.029411764705882	E	root
0.027548209366391	E	root
0.024930747922438	E	root
0.025316455696203	E	root
0.032894736842105	E	root
0.027729636048527	E	root
