SSP;A1;A2;A3;C1;C2;R1;R2
SSP new1;3981337;1531569.24;636112.335;1493154.706;4621196.264;1084439.104;565979.076
SSP new2;5403210;2587429.224;942001.139;2739011.996;7319754.39;1506845.44;987103.152
SSP new3;7221874;3460724.28;1195569.038;3916865.876;9186261.234;1670580.544;1128133.332
SSP new4;8561796;3150453.24;1439147.765;4312717.934;11162024.01;1600510.336;1253809.206
SSP new5;9727167;3984342.552;1634260.352;4648424.236;12598216.29;2042614.592;1383519.636
SSP new6;10180907;4435104.168;1712452.58;5965674.828;13838600.32;2299919.872;1359248.472
SSP new7;9161381;3837771.792;1573389.285;5200693.592;13184599.02;2192030.336;1264789.566
SSP new8;7240857;3386278.08;1308935.296;1712536.936;3781310.28;1961545.216;584515.872
SSP new9;7484395;3848125.896;1615868.931;1962856.048;4306185.828;2167193.984;660369.51
SSP new10;8383171.526;3554581.536;1316733.149;3008208.778;7693309.162;2634129.216;1344758.76
SSP new11;9376407.46;3973212.936;1364013.212;3780992.28;8256907.178;2712503.488;1389861.018
SSP new12;13103442.64;4541686.416;1392189.429;4018138.686;9269993.508;2516118.72;1280212.182
SSP new13;16573381.32;4597036.272;1835338.016;2816073.906;4609223.922;2296388.288;960568.686
SSP new14;13399958.02;4426579.728;2732009.219;2301309.79;4884447.178;2472580.48;599132.268
